Periodo;Partner;Pais;ID_Link;Nombre_Link;ID_Afiliador;Nombre_Afiliador;Registros;Cantidad_Primeros_Depositos;Valor_Primeros_Depositos
2024-06-01-2024-06-30;Doradobet;Perú;15553;FacebookPE_Registro_UsCup;46079;Facebook_DBPE;0;1;10
2024-06-01-2024-06-30;Ecuabet;Ecuador;6934;ESPN_TomadeCanal;255431;QuotaMedia_ECEC;0;1;2
2024-06-01-2024-06-30;Doradobet;Ecuador;13950;FacebookECDorado_Registro_Casino_BA;2457236;QuotaMedia_DBEC;0;1;5
2024-06-01-2024-06-30;Ecuabet;Ecuador;14579;BetGeniusEC_BonoBienvenida;255431;QuotaMedia_ECEC;0;1;5
2024-06-01-2024-06-30;Doradobet;Perú;15840;Landing_Regalo_FacebookPE;46079;Facebook_DBPE;0;60;1333,51
2024-06-01-2024-06-30;Ecuabet;Ecuador;16422;ElUniversoEC_canillitas;255431;QuotaMedia_ECEC;0;1;10
2024-06-01-2024-06-30;Ecuabet;Ecuador;16128;Poker_Ruleta_BidQuestEC;255431;QuotaMedia_ECEC;0;1;10
2024-06-01-2024-06-30;Doradobet;Perú;15838;Bingo_Millonario_FacebookPE_Registro;46079;Facebook_DBPE;0;1;10
2024-06-01-2024-06-30;Doradobet;Perú;10181;AdCashPE_Deportes_PopUnder_BonoBienvenida_Mob;14864;QuotaMedia_DBPE;0;1;10
2024-06-01-2024-06-30;Doradobet;Perú;15836;Bono_Bienvenida_FacebookPE_Registro;46079;Facebook_DBPE;0;1;10
2024-06-01-2024-06-30;Ecuabet;Ecuador;16929;Casino_Slot_Vivo_MGIDEC_Registro;255431;QuotaMedia_ECEC;0;21;152
2024-06-01-2024-06-30;Doradobet;Perú;17116;Cuotas_FacebookPE_CombinadaEliminatorias;46079;Facebook_DBPE;0;1;10
2024-06-01-2024-06-30;Ecuabet;Ecuador;14609;SportRadarEC_BonoBienvenida;255431;QuotaMedia_ECEC;0;1;10
2024-06-01-2024-06-30;Ecuabet;Ecuador;16132;Jack_Pot_BidQuestEC;255431;QuotaMedia_ECEC;0;1;5
2024-06-01-2024-06-30;Ecuabet;Ecuador;16993;Ligas_Europeas_MGIDEC_Registro;255431;QuotaMedia_ECEC;0;11;78,5
2024-06-01-2024-06-30;Ecuabet;Ecuador;15964;Eliminatorias_SportRadarEC;255431;QuotaMedia_ECEC;0;1;5
2024-06-01-2024-06-30;Doradobet;Perú;15852;Jack_Pot_FacebookPE_Registro;46079;Facebook_DBPE;0;9;117
2024-06-01-2024-06-30;Ecuabet;Ecuador;17269;Torneo_Fortuna_Futbol_BidQuestEC;255431;QuotaMedia_ECEC;0;2;13
2024-06-01-2024-06-30;Ecuabet;Ecuador;14926;Qr_ElUniversoEC;255431;QuotaMedia_ECEC;0;1;5
